iso3,sea_level_exposure_pop_below_5m_pct,flood_deaths_latest,drought_deaths_latest,wildfire_deaths_latest,heat_deaths_latest,cereal_yield_anomaly_pct_latest,water_stress_pct_latest,freshwater_resources_per_capita_m3_latest,pm25_ug_m3_latest,air_pollution_death_rate_per_100k_latest,nd_gain_readiness_latest,coal_share_latest_pct
BFA,0.0,0.0,0.0,,,14.769352231286877,7.820267686,555.332484666826,58.4706762025055,201.3,0.27482711698912,0.0
BGD,8.38183750736477,5.0,0.0,,10.0,25.382716289377257,5.723339482,619.889977558035,42.3813762359965,143.9,0.27930849019397,20.156332
BGR,1.33967587036816,4.0,0.0,0.0,3414.0,31.196041866802286,40.23530092,3248.21112506123,17.1474236131426,62.9,0.464236756653287,22.505922
BHR,32.9847026314836,,,,,,133.7068966,2.62347895609149,58.4950629834781,68.1,0.526711547844828,0.0
BHS,12.8571394251619,0.0,,,,32.566233072989824,,1760.83795762921,18.9393918728687,10.4,0.432598392246487,0.0
BIH,0.0137988235253632,0.0,0.0,,909.0,39.297679925435176,2.071713147,11077.1273857168,26.6019532713554,113.9,0.370434524014239,59.374996
BLR,0.0,0.0,,,43.0,14.999595807173066,4.660514173,3684.41031717246,14.6089903841381,69.9,0.459539782750123,0.06565988
BLZ,33.8562563835843,0.0,,0.0,0.0,26.261832750697206,1.260294485,37891.1089977727,28.6518070195516,41.0,0.339967386887715,0.0
BMU,7.22995540717487,,,,,,,,7.33600052500811,,,0.0
BOL,0.0,63.0,5.0,0.0,18.0,3.1364413910204765,0.202979589,25130.0927354243,22.879459074231,77.1,0.284553675552306,0.0
BRA,2.23302391070075,0.0,0.0,0.0,32.0,35.41915149546514,1.495816821,26917.8664854327,12.1793252040724,28.9,0.350466480103187,2.173738
BRB,2.20666381805887,0.0,0.0,,,0.8323802606450653,87.5,283.368400172855,23.7309657842996,18.8,0.590085510975419,0.0
BRN,20.870967238675,,,0.0,,94.89821314992078,3.466465712,18666.1396227244,7.59726503432135,19.6,0.538148660701917,21.645796
BTN,0.0,10.0,,0.0,,32.93139476648355,1.413807531,99882.9576624315,23.9456576369223,94.3,0.478615268929001,0.0
BWA,0.0,9.0,0.0,,,34.72589357545108,2.230009819,983.650095987855,18.9057549925814,140.7,0.430593291832732,95.7529
CAF,0.0,0.0,0.0,0.0,,-7.1864198966271715,0.335648148,27657.6934778255,34.4334184466457,305.1,0.132552577577126,0.0
CAN,1.44116830882438,6.0,0.0,1.0,2.0,9.12500922986044,3.720700309,73197.1653742787,6.56566994375263,8.1,0.64522196244372,3.9479263
CEB,1.21399520986787,,,,,17.054753560030054,,2500.30300722568,15.7396365732288,44.8659906651865,,
CHE,0.0,0.0,,,363.0,-9.501114186247534,6.498855835,4602.89335141678,9.06104968621636,10.4,0.691330058569058,0.0
CHL,0.958467364431253,1.0,0.0,0.0,0.0,4.264736993863181,8.982121089,45261.513352709,23.2750668049145,17.9,0.530893745356944,15.79655
CHN,4.87880231853816,157.0,0.0,4.0,5.0,15.955147123253264,41.5185288,1991.89193973835,34.8105237153218,95.3,0.555667227908471,57.77406
CIV,3.26601676991083,26.0,0.0,,,22.068308973634522,5.087565674,2528.04720986694,49.4977827339493,186.5,0.319413276023028,0.0
CMR,2.29087878478046,38.0,0.0,,,6.910227136161519,1.560430108,9879.57378577776,39.8126251004519,206.7,0.260368466197561,0.0
COD,0.012774030558603,351.0,0.0,3.0,,7.415307161660997,0.226883505,8789.32274635319,26.6494833206385,209.8,0.214130401841211,0.0
COG,0.944060135733029,9.0,0.0,,,9.11780794669054,0.027446301,36784.7844875581,28.5737499496554,170.4,0.24443433914416,0.0
COK,,,,,,,,,,,,0.0
COL,2.34105613545381,1.0,0.0,11.0,,20.875258384777833,3.632281437,41458.9338919227,14.1832514905064,31.3,0.373337208571654,15.152554
COM,3.21938427188237,4.0,,,,14.105263157894743,0.833333333,1438.52464911986,11.9332724091044,164.6,0.288918497694303,0.0
CPV,6.45170487085517,17.0,0.0,,,-90.29679161305293,59.68371,577.21057218884,42.3225220905558,91.2,0.450351528937161,0.0
CRI,2.00237495832442,8.0,0.0,0.0,,21.78024417921807,5.881962457,22236.3686632499,14.3075712471404,17.8,0.454866858971535,0.0
CSS,29.71306985108,,,,,26.410715398762115,,80215.9513131183,24.8557248353072,40.7019406686502,,
CUB,2.50495003993379,6.0,0.0,0.0,,-24.982332795767118,23.93944607,3446.71070596086,21.2367242811561,41.9,0.337759848495826,0.0
